,days,variable,value,condition
0,0,untreated_mouse1,2.9183509481432144,untreated
1,1,untreated_mouse1,2.7179487791532115,untreated
2,2,untreated_mouse1,2.790496143241183,untreated
3,3,untreated_mouse1,2.5227518255107206,untreated
4,4,untreated_mouse1,2.6134894428030355,untreated
5,5,untreated_mouse1,2.5624908475928763,untreated
6,6,untreated_mouse1,2.676677080944027,untreated
7,7,untreated_mouse1,2.8012305684633403,untreated
8,0,untreated_mouse2,2.9555281434254064,untreated
9,1,untreated_mouse2,2.65322180992324,untreated
10,2,untreated_mouse2,2.1138726642705445,untreated
11,3,untreated_mouse2,2.703520209735852,untreated
12,4,untreated_mouse2,2.501116778609515,untreated
13,5,untreated_mouse2,2.572864559047629,untreated
14,6,untreated_mouse2,2.1448337999898,untreated
15,7,untreated_mouse2,2.6159024847767243,untreated
16,0,untreated_mouse3,2.750224278514132,untreated
17,1,untreated_mouse3,2.748195643961556,untreated
18,2,untreated_mouse3,2.4169400495541864,untreated
19,3,untreated_mouse3,2.6314747442522037,untreated
20,4,untreated_mouse3,2.219417632908971,untreated
21,5,untreated_mouse3,2.2609557983092956,untreated
22,6,untreated_mouse3,2.441606939823293,untreated
23,7,untreated_mouse3,1.9725180792740378,untreated
24,0,untreated_mouse4,2.9252373456152605,untreated
25,1,untreated_mouse4,2.7207829929914316,untreated
26,2,untreated_mouse4,2.6112293471559336,untreated
27,3,untreated_mouse4,2.701926168293025,untreated
28,4,untreated_mouse4,2.1806124117730423,untreated
29,5,untreated_mouse4,3.025872768555131,untreated
30,6,untreated_mouse4,2.2968822057131195,untreated
31,7,untreated_mouse4,1.6969251921406634,untreated
32,0,untreated_mouse5,2.988443985189529,untreated
33,1,untreated_mouse5,2.852064108738758,untreated
34,2,untreated_mouse5,2.458831806088818,untreated
35,3,untreated_mouse5,2.4933316016247695,untreated
36,4,untreated_mouse5,2.709981783749992,untreated
37,5,untreated_mouse5,2.4091954079691345,untreated
38,6,untreated_mouse5,2.7060089938139815,untreated
39,7,untreated_mouse5,1.6075137892950835,untreated
40,0,untreated_mouse6,2.924038719973322,untreated
41,1,untreated_mouse6,2.86968455559398,untreated
42,2,untreated_mouse6,2.6713003350607982,untreated
43,3,untreated_mouse6,2.904962616086849,untreated
44,4,untreated_mouse6,2.449689165016384,untreated
45,5,untreated_mouse6,2.5461248616744045,untreated
46,6,untreated_mouse6,2.012326998460519,untreated
47,7,untreated_mouse6,2.6243500564765134,untreated
48,0,cefepime_treated_mouse_7,3.1050679914081325,cefepime_treated
49,1,cefepime_treated_mouse_7,2.744604659425228,cefepime_treated
50,2,cefepime_treated_mouse_7,2.5199247464150356,cefepime_treated
51,3,cefepime_treated_mouse_7,1.1434328820739412,cefepime_treated
52,4,cefepime_treated_mouse_7,2.404829620206536,cefepime_treated
53,5,cefepime_treated_mouse_7,0.5643264885524532,cefepime_treated
54,6,cefepime_treated_mouse_7,1.0735764617783925,cefepime_treated
55,7,cefepime_treated_mouse_7,1.0835079634486673,cefepime_treated
56,0,cefepime_treated_mouse_8,2.944551407238886,cefepime_treated
57,1,cefepime_treated_mouse_8,0.8537583858456634,cefepime_treated
58,2,cefepime_treated_mouse_8,1.415640741199708,cefepime_treated
59,3,cefepime_treated_mouse_8,2.363563546005228,cefepime_treated
60,4,cefepime_treated_mouse_8,2.612725253425223,cefepime_treated
61,5,cefepime_treated_mouse_8,2.1240266850693126,cefepime_treated
62,6,cefepime_treated_mouse_8,2.4842126116457974,cefepime_treated
63,7,cefepime_treated_mouse_8,2.4804263985654806,cefepime_treated
64,0,cefepime_treated_mouse_9,2.898936384554252,cefepime_treated
65,1,cefepime_treated_mouse_9,2.936140507580496,cefepime_treated
66,2,cefepime_treated_mouse_9,2.68459189222018,cefepime_treated
67,3,cefepime_treated_mouse_9,2.7990026121751206,cefepime_treated
68,4,cefepime_treated_mouse_9,2.1344730899280067,cefepime_treated
69,5,cefepime_treated_mouse_9,1.9227745047314662,cefepime_treated
70,6,cefepime_treated_mouse_9,0.5082606990232786,cefepime_treated
71,7,cefepime_treated_mouse_9,2.487685062470401,cefepime_treated
72,0,cefepime_treated_mouse_10,2.7931337662813895,cefepime_treated
73,1,cefepime_treated_mouse_10,2.0268788138953524,cefepime_treated
74,2,cefepime_treated_mouse_10,0.8156823514126367,cefepime_treated
75,3,cefepime_treated_mouse_10,2.523852469309278,cefepime_treated
76,4,cefepime_treated_mouse_10,2.0483495481629483,cefepime_treated
77,5,cefepime_treated_mouse_10,2.222604409906734,cefepime_treated
78,6,cefepime_treated_mouse_10,1.1106030121815542,cefepime_treated
79,7,cefepime_treated_mouse_10,0.7299971044345481,cefepime_treated
80,0,cefepime_treated_mouse_11,1.9588486515671786,cefepime_treated
81,1,cefepime_treated_mouse_11,2.6128153478406744,cefepime_treated
82,2,cefepime_treated_mouse_11,1.9650835705697138,cefepime_treated
83,3,cefepime_treated_mouse_11,2.8929404478956626,cefepime_treated
84,4,cefepime_treated_mouse_11,2.582151983155304,cefepime_treated
85,5,cefepime_treated_mouse_11,3.0846725764192118,cefepime_treated
86,6,cefepime_treated_mouse_11,2.7472214469672527,cefepime_treated
87,7,cefepime_treated_mouse_11,1.360196179134876,cefepime_treated
88,0,cefepime_treated_mouse_12,2.905937674806105,cefepime_treated
89,1,cefepime_treated_mouse_12,2.4716997979487894,cefepime_treated
90,2,cefepime_treated_mouse_12,2.6845199598429677,cefepime_treated
91,3,cefepime_treated_mouse_12,2.481487774259292,cefepime_treated
92,4,cefepime_treated_mouse_12,0.6772086936219601,cefepime_treated
93,5,cefepime_treated_mouse_12,2.3460377148675304,cefepime_treated
94,6,cefepime_treated_mouse_12,2.623672825102339,cefepime_treated
95,7,cefepime_treated_mouse_12,1.4786479568219273,cefepime_treated
